"Time (s) Run #5","Angle (rad) Run #5","Angular Velocity (rad/s) Run #5","Angular Acceleration (rad/s²) Run #5","State Run #5"
8.180,,,,0.00
8.200,3.923,-6.298,14.447,
8.250,3.626,-5.294,21.235,
8.300,3.386,-4.072,25.065,
8.350,3.216,-2.734,26.907,
8.400,3.111,-1.338,27.440,
8.450,3.081,0.044,27.004,
8.500,3.120,1.382,26.034,
8.550,3.220,2.647,24.822,
8.600,3.386,3.869,23.029,
8.650,3.608,5.003,19.732,
8.700,3.892,5.934,13.720,
8.750,4.215,6.501,4.315,
8.800,4.560,6.487,-8.145,
8.850,4.891,5.745,-21.914,
8.900,5.162,4.247,-34.228,
8.950,5.336,2.167,-42.518,
9.000,5.389,-0.204,-45.282,
9.050,5.315,-2.560,-42.276,
9.100,5.123,-4.611,-34.276,
9.150,4.835,-6.109,-22.980,
9.200,4.485,-6.938,-10.811,
9.250,4.119,-7.127,-0.194,
9.300,3.757,-6.836,7.418,
9.350,3.425,-6.269,11.781,
9.400,3.129,-5.571,13.478,
9.441,,,,1.00
9.450,2.867,-4.858,13.332,
9.499,,,,0.00
9.500,2.644,-4.203,12.120,
9.550,2.452,-3.636,10.520,
9.600,2.282,-3.156,8.872,
9.650,2.138,-2.749,7.272,
9.700,2.011,-2.429,5.769,
9.750,1.898,-2.182,4.266,
9.800,1.793,-1.993,2.570,
9.850,1.702,-1.905,0.533,
9.900,1.610,-1.934,-1.697,
9.950,1.510,-2.080,-3.975,
10.000,1.405,-2.327,-6.448,
10.050,1.283,-2.705,-9.114,
10.100,1.139,-3.243,-11.490,
10.150,0.964,-3.898,-12.702,
10.200,0.750,-4.581,-11.926,
10.250,0.502,-5.178,-8.630,
10.300,0.227,-5.541,-2.618,
10.350,-0.065,-5.527,5.721,
10.400,-0.345,-5.018,15.320,
10.450,-0.585,-3.985,24.580,
10.500,-0.759,-2.487,31.707,
10.550,-0.846,-0.684,35.246,
10.600,-0.829,1.193,34.567,
10.650,-0.720,2.909,30.107,
10.700,-0.528,4.291,22.932,
10.750,-0.275,5.251,14.302,
10.763,,,,1.00
10.800,0.013,5.730,5.624,
10.822,,,,0.00
10.850,0.314,5.760,-1.697,
10.900,0.602,5.469,-6.642,
10.950,0.864,5.003,-9.066,
11.000,1.104,4.494,-9.405,
11.050,1.313,4.014,-8.242,
11.100,1.501,3.636,-6.206,
11.150,1.671,3.389,-3.830,
11.200,1.837,3.258,-1.503,
11.250,1.994,3.243,0.679,
11.300,2.155,3.331,2.666,
11.350,2.326,3.520,4.460,
11.400,2.505,3.782,6.157,
11.450,2.701,4.131,7.709,
11.500,2.915,4.567,8.824,
11.550,3.155,5.047,8.872,
11.600,3.421,5.512,7.272,
11.650,3.709,5.847,3.588,
11.700,4.014,5.949,-2.376,
11.750,4.315,5.687,-10.181,
11.800,4.599,4.960,-18.665,
11.850,4.830,3.782,-26.034,
11.900,4.987,2.254,-30.543,
11.950,5.061,0.582,-31.077,
12.000,5.044,-1.004,-27.440,
12.050,4.948,-2.283,-20.508,
12.070,,,,1.00
12.100,4.800,-3.113,-11.781,
12.127,,,,0.00
12.150,4.621,-3.462,-2.666,
12.200,4.437,-3.360,5.818,
12.250,4.272,-2.836,12.945,
12.300,4.141,-1.993,18.035,
12.350,4.067,-0.945,20.605,
12.400,4.045,0.160,20.702,
12.450,4.084,1.193,18.665,
12.500,4.171,2.080,14.884,
12.550,4.298,2.734,9.551,
12.600,4.455,3.083,2.860,
12.650,4.621,3.054,-4.654,
12.700,4.773,2.618,-12.169,
12.750,4.896,1.804,-18.520,
12.800,4.965,0.684,-22.544,
12.850,4.970,-0.567,-23.562,
12.900,4.904,-1.774,-21.720,
12.950,4.787,-2.807,-17.793,
13.000,4.616,-3.592,-12.460,
13.050,4.416,-4.087,-6.400,
13.100,4.198,-4.232,-0.339,
13.150,3.979,-4.087,5.042,
13.200,3.783,-3.694,9.357,
13.250,3.604,-3.113,12.702,
13.300,3.464,-2.400,15.223,
13.350,3.364,-1.571,17.162,
13.368,,,,1.00
13.400,3.303,-0.669,18.762,
13.425,,,,0.00
13.450,3.294,0.305,20.168,
13.500,3.334,1.353,21.429,
13.550,3.425,2.458,22.253,
13.600,3.578,3.607,22.059,
13.650,3.787,4.727,19.926,
13.700,4.054,5.701,14.787,
13.750,4.368,6.341,6.012,
13.800,4.708,6.429,-6.012,
13.850,5.035,5.803,-19.586,
13.900,5.315,4.436,-32.240,
13.950,5.502,2.458,-41.452,
14.000,5.572,0.102,-45.476,
14.050,5.515,-2.298,-43.730,
14.100,5.332,-4.451,-36.846,
14.150,5.053,-6.109,-26.519,
14.200,4.699,-7.141,-14.932,
14.250,4.315,-7.563,-4.412,
14.300,3.927,-7.476,3.248,
14.350,3.556,-7.098,7.175,
14.400,3.216,-6.632,7.515,
14.450,2.897,-6.254,5.188,
14.500,2.596,-6.065,1.212,
14.550,2.299,-6.109,-3.345,
14.600,1.994,-6.414,-7.418,
14.650,1.667,-6.909,-9.890,
14.680,,,,1.00
14.700,1.305,-7.490,-9.551,
14.738,,,,0.00
14.750,0.916,-7.999,-5.333,
14.800,0.497,-8.189,3.394,
14.850,0.074,-7.810,15.950,
14.900,-0.310,-6.661,30.107,
14.950,-0.620,-4.741,42.664,
15.000,-0.807,-2.225,50.469,
15.050,-0.851,0.553,51.584,
15.100,-0.746,3.185,45.766,
15.150,-0.515,5.323,34.567,
15.200,-0.188,6.734,20.605,
15.250,0.188,7.374,6.690,
15.300,0.572,7.316,-4.945,
15.350,0.938,6.749,-13.090,
15.400,1.257,5.876,-17.550,
15.450,1.527,4.887,-19.053,
15.500,1.745,3.912,-18.714,
15.550,1.915,2.996,-17.599,
15.600,2.042,2.153,-16.338,
15.650,2.129,1.367,-15.078,
15.700,2.177,0.640,-13.769,
15.750,2.190,-0.015,-12.411,
15.800,2.173,-0.596,-11.151,
15.850,2.129,-1.120,-10.133,
15.900,2.059,-1.600,-9.357,
15.950,1.968,-2.051,-8.775,
15.987,,,,1.00
16.000,1.854,-2.473,-8.290,
16.045,,,,0.00
16.050,1.719,-2.880,-7.805,
16.100,1.566,-3.258,-7.272,
16.150,1.392,-3.607,-6.593,
16.200,1.204,-3.927,-5.527,
16.250,0.999,-4.189,-3.636,
16.300,0.781,-4.334,-0.679,
16.350,0.559,-4.291,3.248,
16.400,0.345,-4.029,7.757,
16.450,0.148,-3.520,12.266,
16.500,-0.017,-2.778,16.047,
16.550,-0.135,-1.862,18.326,
16.600,-0.205,-0.873,18.568,
16.650,-0.223,0.073,16.532,
16.700,-0.192,0.858,12.508,
16.750,-0.127,1.367,7.321,
16.800,-0.044,1.585,1.939,
16.850,0.039,1.542,-2.909,
16.900,0.118,1.265,-6.787,
16.950,0.175,0.814,-9.260,
17.000,0.201,0.276,-10.084,
17.050,0.201,-0.247,-9.357,
17.100,0.175,-0.698,-7.272,
17.150,0.127,-1.018,-4.072,
17.200,0.065,-1.134,-0.194,
17.250,0.004,-1.033,3.733,
17.295,,,,1.00
17.300,-0.044,-0.742,7.224,
17.350,-0.074,-0.291,9.987,
17.352,,,,0.00
17.400,-0.079,0.291,11.684,
17.450,-0.048,0.931,11.975,
17.500,0.017,1.542,10.908,
17.550,0.109,2.051,8.824,
17.600,0.227,2.443,5.963,
17.650,0.358,2.676,2.473,
17.700,0.502,2.705,-1.357,
17.750,0.637,2.531,-5.042,
17.800,0.759,2.182,-8.290,
17.850,0.860,1.687,-11.102,
17.900,0.934,1.062,-13.478,
17.950,0.969,0.320,-15.320,
18.000,0.969,-0.495,-16.629,
18.050,0.921,-1.353,-17.453,
18.100,0.833,-2.254,-17.647,
18.150,0.698,-3.156,-16.629,
18.200,0.515,-3.985,-13.623,
18.250,0.292,-4.611,-8.096,
18.300,0.044,-4.887,-0.097,
18.350,-0.214,-4.683,9.599,
18.400,-0.445,-3.942,19.538,
18.450,-0.624,-2.676,27.925,
18.500,-0.729,-1.033,33.113,
18.550,-0.733,0.785,34.179,
18.588,,,,1.00
18.600,-0.646,2.531,31.270,
18.645,,,,0.00
18.650,-0.471,4.014,25.259,
18.700,-0.231,5.120,17.405,
18.750,0.057,5.774,9.114,
18.800,0.362,5.992,1.842,
18.850,0.668,5.876,-3.345,
18.900,0.956,5.571,-6.109,
18.950,1.226,5.192,-6.787,
19.000,1.475,4.843,-5.963,
19.050,1.706,4.567,-4.169,
19.100,1.929,4.407,-1.842,
19.150,2.142,4.378,0.727,
19.200,2.361,4.480,3.297,
19.250,2.587,4.712,5.672,
19.300,2.827,5.061,7.466,
19.350,3.089,5.498,8.096,
19.400,3.377,5.934,6.884,
19.450,3.687,6.269,3.297,
19.500,4.010,6.356,-2.812,
19.550,4.337,6.065,-11.054,
19.600,4.634,5.294,-20.217,
19.650,4.883,4.014,-28.410,
19.700,5.053,2.342,-33.501,
19.750,5.123,0.495,-34.082,
19.800,5.096,-1.236,-30.107,
19.850,4.987,-2.633,-22.592,
19.880,,,,1.00
19.900,4.817,-3.563,-13.090,
19.937,,,,0.00
19.950,4.612,-3.956,-3.054,
20.000,4.403,-3.840,6.254,
20.050,4.215,-3.272,13.914,
20.100,4.062,-2.371,19.393,
20.150,3.971,-1.251,22.398,
20.200,3.936,-0.044,23.029,
20.250,3.966,1.120,21.477,
20.300,4.054,2.167,17.987,
20.350,4.189,2.982,12.751,
20.400,4.363,3.491,5.963,
20.450,4.551,3.622,-1.988,
20.500,4.739,3.316,-10.520,
20.550,4.900,2.560,-18.471,
20.600,5.009,1.396,-24.386,
20.650,5.048,-8.882E-15,-27.101,
20.700,5.009,-1.440,-26.277,
20.750,4.900,-2.734,-22.398,
20.800,4.725,-3.752,-16.387,
20.850,4.512,-4.407,-9.405,
20.900,4.272,-4.683,-2.521,
20.950,4.032,-4.625,3.442,
21.000,3.800,-4.291,8.145,
21.050,3.595,-3.767,11.684,
21.100,3.421,-3.098,14.399,
21.150,3.281,-2.313,16.581,
21.176,,,,1.00
21.200,3.185,-1.425,18.326,
21.233,,,,0.00
21.250,3.137,-0.465,19.732,
21.300,3.137,0.553,20.992,
21.350,3.190,1.629,22.301,
21.400,3.299,2.778,23.513,
21.450,3.464,4.000,23.804,
21.500,3.696,5.236,21.768,
21.550,3.992,6.312,16.047,
21.600,4.342,6.996,6.109,
21.650,4.712,7.054,-7.321,
21.700,5.075,6.327,-22.350,
21.750,5.376,4.785,-36.313,
21.800,5.576,2.560,-46.445,
21.850,5.646,-0.073,-50.712,
21.900,5.572,-2.749,-48.384,
21.950,5.358,-5.120,-40.191,
22.000,5.040,-6.909,-28.119,
22.050,4.643,-7.970,-14.932,
22.100,4.215,-8.334,-3.539,
22.150,3.792,-8.174,3.927,
22.200,3.390,-7.767,6.739,
22.250,3.015,-7.359,5.478,
22.300,2.662,-7.127,1.551,
22.350,2.313,-7.170,-3.442,
22.400,1.955,-7.490,-7.902,
22.450,1.571,-8.029,-10.230,
22.485,,,,1.00
22.500,1.156,-8.639,-8.727,
22.542,,,,0.00
22.550,0.702,-9.090,-1.939,
22.600,0.231,-9.047,10.327,
22.650,-0.231,-8.203,26.325,
22.700,-0.624,-6.429,42.470,
22.750,-0.903,-3.811,54.638,
22.800,-1.025,-0.698,59.681,
22.850,-0.973,2.458,56.481,
22.900,-0.764,5.207,46.154,
22.950,-0.428,7.229,31.319,
23.000,-0.009,8.378,15.320,
23.050,0.441,8.683,1.357,
23.100,0.881,8.348,-8.339,
23.150,1.287,7.665,-13.090,
23.200,1.649,6.894,-13.672,
23.250,1.972,6.210,-11.539,
23.300,2.265,5.701,-8.048,
23.350,2.535,5.396,-4.169,
23.400,2.797,5.294,-0.582,
23.450,3.059,5.367,2.133,
23.500,3.329,5.556,3.442,
23.550,3.613,5.774,2.812,
23.600,3.910,5.920,-0.097,
23.650,4.211,5.847,-5.236,
23.700,4.507,5.454,-11.926,
23.750,4.769,4.669,-18.908,
23.783,,,,1.00
