"Time (s) Run #8","Angle (rad) Run #8","Angular Velocity (rad/s) Run #8","Angular Acceleration (rad/s²) Run #8","State Run #8"
8.500,-4.560,5.498,10.617,
8.550,-4.263,5.730,0.436,
8.600,-3.971,5.469,-7.999,
8.650,-3.704,4.843,-14.060,
8.700,-3.478,3.985,-17.793,
8.750,-3.303,2.996,-19.490,
8.800,-3.176,1.978,-19.683,
8.850,-3.107,1.004,-19.102,
8.900,-3.081,0.073,-18.374,
8.950,-3.098,-0.829,-17.696,
9.000,-3.163,-1.702,-16.968,
9.050,-3.272,-2.531,-16.096,
9.100,-3.416,-3.316,-14.787,
9.150,-3.604,-4.043,-12.411,
9.200,-3.827,-4.625,-8.290,
9.250,-4.075,-4.945,-2.133,
9.300,-4.333,-4.901,5.721,
9.350,-4.581,-4.407,14.350,
9.400,-4.791,-3.447,22.301,
9.450,-4.939,-2.094,27.974,
9.500,-5.009,-0.524,30.204,
9.550,-4.992,1.062,28.652,
9.600,-4.896,2.458,23.804,
9.650,-4.734,3.520,16.629,
9.700,-4.529,4.160,8.339,
9.750,-4.302,4.349,0.145,
9.800,-4.080,4.131,-6.933,
9.850,-3.879,3.592,-12.314,
9.900,-3.713,2.836,-15.853,
9.950,-3.591,1.949,-17.696,
10.000,-3.517,1.018,-18.181,
10.050,-3.491,0.102,-17.696,
10.100,-3.508,-0.771,-16.581,
10.150,-3.569,-1.571,-14.981,
10.200,-3.670,-2.283,-12.848,
10.250,-3.800,-2.880,-9.939,
10.300,-3.962,-3.316,-6.012,
10.350,-4.141,-3.520,-1.067,
10.400,-4.324,-3.447,4.654,
10.450,-4.494,-3.069,10.617,
10.500,-4.643,-2.371,15.999,
10.550,-4.743,-1.411,19.683,
10.600,-4.787,-0.305,20.799,
10.650,-4.773,0.771,19.247,
10.700,-4.704,1.687,15.611,
10.750,-4.595,2.371,10.714,
10.800,-4.459,2.778,5.236,
10.850,-4.307,2.894,-0.242,
10.900,-4.158,2.734,-5.139,
10.950,-4.027,2.342,-9.018,
11.000,-3.918,1.789,-11.684,
11.050,-3.844,1.134,-13.138,
11.100,-3.805,0.436,-13.478,
11.150,-3.800,-0.247,-12.848,
11.200,-3.831,-0.873,-11.442,
11.250,-3.892,-1.411,-9.454,
11.300,-3.975,-1.833,-6.981,
11.350,-4.080,-2.123,-3.975,
11.400,-4.193,-2.254,-0.388,
11.450,-4.311,-2.182,3.588,
11.500,-4.420,-1.891,7.418,
11.550,-4.507,-1.411,10.423,
11.600,-4.564,-0.800,12.169,
11.650,-4.590,-0.145,12.508,
11.700,-4.577,0.495,11.442,
11.750,-4.538,1.047,9.114,
11.800,-4.468,1.440,5.866,
11.850,-4.385,1.644,2.376,
11.900,-4.298,1.658,-0.824,
11.950,-4.215,1.542,-3.539,
12.000,-4.141,1.294,-5.769,
12.050,-4.080,0.945,-7.418,
12.100,-4.045,0.524,-8.193,
12.150,-4.027,0.087,-7.999,
12.200,-4.036,-0.305,-6.981,
12.250,-4.062,-0.625,-5.478,
12.300,-4.102,-0.858,-3.782,
12.350,-4.150,-1.004,-2.085,
12.400,-4.206,-1.062,-0.436,
12.450,-4.259,-1.047,1.212,
12.500,-4.311,-0.945,2.909,
12.550,-4.359,-0.756,4.412,
12.600,-4.390,-0.480,5.284,
12.650,-4.407,-0.189,5.333,
12.700,-4.407,0.073,4.703,
12.750,-4.398,0.291,3.733,
12.800,-4.376,0.451,2.570,
12.850,-4.350,0.553,1.309,
12.900,-4.320,0.582,0.048,
12.950,-4.289,0.553,-1.067,
13.000,-4.263,0.465,-1.891,
13.050,-4.241,0.349,-2.376,
13.100,-4.228,0.218,-2.521,
13.150,-4.219,0.087,-2.376,
13.200,-4.219,-0.029,-1.939,
13.250,-4.224,-0.116,-1.309,
13.300,-4.232,-0.160,-0.679,
13.350,-4.241,-0.175,-0.145,
13.400,-4.250,-0.175,0.291,
13.450,-4.259,-0.145,0.630,
13.500,-4.267,-0.102,0.776,
13.550,-4.267,-0.058,0.679,
13.600,-4.272,-0.029,0.485,
13.650,-4.272,-0.015,0.339,
13.700,-4.272,0.000,0.291,
13.750,-4.272,0.015,0.242,
13.800,-4.272,0.029,0.097,
13.850,-4.267,0.029,-0.097,
13.900,-4.267,0.015,-0.194,
13.950,-4.267,0.000,-0.145,
14.000,-4.267,0.000,-0.048,
14.050,-4.267,0.000,0.000,
14.100,-4.267,0.000,0.533,
14.150,-4.267,0.000,7.175,
14.200,-4.267,0.160,30.058,
14.250,-4.267,1.993,68.795,
14.300,-4.219,7.025,102.344,
14.350,-3.718,13.774,104.477,
14.400,-2.710,19.082,73.013,
14.450,-1.645,21.278,30.058,
14.500,-0.567,21.424,-6.981,
14.550,0.524,20.449,-38.009,
14.600,1.549,17.817,-67.728,
14.650,2.374,13.483,-92.987,
14.700,2.928,8.072,-108.162,
14.750,3.190,2.298,-113.155,
14.800,3.155,-3.447,-110.538,
14.850,2.836,-8.945,-100.841,
14.900,2.247,-13.846,-82.418,
14.950,1.414,-17.555,-55.851,
15.000,0.423,-19.562,-27.489,
15.050,-0.607,-19.984,-6.690,
15.100,-1.601,-19.664,2.085,
15.150,-2.557,-19.460,4.218,
15.200,-3.526,-19.460,10.763,
15.250,-4.520,-18.922,28.701,
15.300,-5.476,-16.973,55.269,
15.350,-6.283,-13.337,81.400,
15.400,-6.855,-8.465,99.484,
15.450,-7.143,-3.011,107.532,
15.500,-7.156,2.545,106.998,
15.550,-6.885,7.912,98.320,
15.600,-6.349,12.712,80.479,
15.650,-5.576,16.319,54.687,
15.700,-4.651,18.282,27.440,
15.750,-3.687,18.748,7.612,
15.800,-2.753,18.515,-0.727,
15.850,-1.850,18.370,-2.279,
15.900,-0.934,18.442,-7.127,
15.950,0.004,18.137,-22.544,
16.000,0.925,16.610,-47.609,
16.050,1.732,13.439,-74.661,
16.100,2.321,8.858,-95.363,
16.150,2.640,3.491,-105.592,
16.200,2.675,-2.051,-105.205,
16.250,2.426,-7.330,-94.975,
16.300,1.920,-11.883,-75.437,
16.350,1.196,-15.170,-49.063,
16.400,0.340,-16.842,-22.301,
16.450,-0.545,-17.090,-3.297,
