"Time (s) Run #4","Angle (rad) Run #4","Angular Velocity (rad/s) Run #4","Angular Acceleration (rad/s²) Run #4","State Run #4"
33.400,0.153,0.320,-7.515,
33.450,0.157,-0.073,-6.981,
33.500,0.144,-0.407,-5.672,
33.550,0.113,-0.654,-3.879,
33.600,0.074,-0.800,-1.891,
33.650,0.031,-0.844,0.097,
33.700,-0.013,-0.785,1.891,
33.750,-0.052,-0.640,3.297,
33.800,-0.079,-0.436,4.121,
33.850,-0.096,-0.204,4.266,
33.900,-0.100,0.015,3.782,
33.950,-0.092,0.189,2.909,
34.000,-0.079,0.305,1.939,
34.050,-0.061,0.378,0.970,
34.100,-0.039,0.407,0.000,
34.150,-0.017,0.378,-0.921,
34.200,0.000,0.305,-1.648,
34.250,0.013,0.204,-2.036,
34.300,0.022,0.087,-2.036,
34.350,0.022,-0.015,-1.600,
34.400,0.017,-0.087,-0.824,
34.450,0.013,-0.102,6.939E-15,
34.500,0.004,-0.073,-1.212,
34.550,0.004,-0.029,-11.684,
34.600,0.004,-0.524,-36.361,
34.650,0.004,-3.156,-65.207,
34.700,-0.153,-7.854,-75.728,
34.750,-0.785,-12.261,-56.238,
34.800,-1.562,-14.137,-22.350,
34.850,-2.265,-13.744,1.891,
34.900,-2.915,-13.075,9.260,
34.950,-3.556,-12.755,10.569,
35.000,-4.193,-12.348,17.599,
35.050,-4.813,-11.301,32.240,
35.100,-5.363,-9.250,50.130,
35.150,-5.777,-6.181,65.401,
35.200,-6.004,-2.429,73.449,
35.250,-6.026,1.498,72.334,
35.300,-5.842,5.105,62.541,
35.350,-5.489,7.985,46.348,
35.400,-5.009,9.847,27.392,
35.450,-4.464,10.661,10.181,
35.500,-3.914,10.647,-1.309,
35.550,-3.386,10.239,-5.284,
35.600,-2.893,9.876,-2.521,
35.650,-2.413,9.847,4.072,
35.700,-1.924,10.283,10.472,
35.750,-1.401,11.054,12.363,
35.800,-0.820,11.810,6.448,
35.850,-0.201,12.028,-7.902,
35.900,0.419,11.243,-28.022,
35.950,0.969,9.250,-48.821,
36.000,1.383,6.181,-65.062,
36.050,1.610,2.443,-73.304,
36.100,1.632,-1.469,-72.334,
36.150,1.453,-5.091,-62.589,
36.200,1.100,-7.985,-45.718,
36.250,0.615,-9.817,-24.774,
36.300,0.074,-10.457,-3.975,
36.350,-0.467,-10.050,12.702,
36.400,-0.956,-8.945,22.932,
36.450,-1.370,-7.519,26.665,
36.500,-1.706,-6.109,25.647,
36.550,-1.972,-4.887,22.204,
36.600,-2.186,-3.883,18.084,
36.650,-2.356,-3.083,14.060,
36.700,-2.487,-2.487,10.520,
36.750,-2.596,-2.065,7.757,
