"Time (s) Run #6","Angle (rad) Run #6","Angular Velocity (rad/s) Run #6","Angular Acceleration (rad/s²) Run #6","State Run #6"
8.650,3.390,6.632,10.617,
8.700,3.744,7.170,5.963,
8.750,4.119,7.374,-2.618,
8.800,4.499,7.025,-14.205,
8.850,4.848,5.992,-26.713,
8.900,5.123,4.291,-37.428,
8.950,5.293,2.094,-43.973,
9.000,5.341,-0.305,-45.039,
9.050,5.258,-2.603,-40.579,
9.100,5.066,-4.523,-31.561,
9.150,4.787,-5.861,-19.683,
9.200,4.455,-6.516,-7.127,
9.250,4.110,-6.516,3.927,
9.300,3.787,-6.007,11.975,
9.350,3.499,-5.192,16.678,
9.400,3.264,-4.247,18.665,
9.450,3.076,-3.272,18.956,
9.500,2.937,-2.327,18.374,
9.550,2.845,-1.425,17.356,
9.600,2.797,-0.582,16.096,
9.650,2.788,0.189,14.835,
9.700,2.819,0.887,13.963,
9.750,2.880,1.556,13.720,
9.800,2.971,2.240,13.963,
9.850,3.102,2.953,14.205,
9.900,3.268,3.680,13.914,
9.950,3.469,4.378,12.508,
10.000,3.709,4.989,9.308,
10.050,3.975,5.396,3.782,
10.100,4.259,5.454,-4.072,
10.150,4.538,5.047,-13.381,
10.200,4.782,4.116,-22.544,
10.250,4.965,2.720,-29.671,
10.300,5.066,1.018,-33.210,
10.350,5.070,-0.756,-32.531,
10.400,4.983,-2.371,-27.974,
10.450,4.821,-3.651,-20.508,
10.500,4.603,-4.480,-11.442,
10.550,4.355,-4.800,-2.230,
10.600,4.106,-4.654,5.818,
10.650,3.879,-4.145,11.975,
10.700,3.683,-3.389,16.096,
10.750,3.534,-2.473,18.277,
10.800,3.434,-1.498,18.859,
10.850,3.386,-0.553,18.374,
10.900,3.382,0.349,17.405,
10.950,3.421,1.193,16.144,
11.000,3.504,1.978,14.496,
11.050,3.622,2.662,12.363,
11.100,3.774,3.229,9.551,
11.150,3.949,3.651,5.769,
11.200,4.145,3.854,0.679,
11.250,4.346,3.767,-5.575,
11.300,4.533,3.316,-12.217,
11.350,4.691,2.516,-18.035,
11.400,4.795,1.440,-21.768,
11.450,4.839,0.233,-22.689,
11.500,4.817,-0.931,-20.750,
11.550,4.739,-1.920,-16.581,
11.600,4.616,-2.633,-11.102,
11.650,4.464,-3.040,-5.188,
11.700,4.302,-3.142,0.533,
11.750,4.141,-2.967,5.672,
11.800,3.997,-2.545,9.842,
11.850,3.879,-1.934,12.702,
11.900,3.800,-1.222,14.108,
11.950,3.757,-0.480,14.254,
12.000,3.752,0.233,13.429,
12.050,3.783,0.887,11.926,
12.100,3.844,1.440,9.939,
12.150,3.931,1.891,7.466,
12.200,4.036,2.211,4.460,
12.250,4.158,2.356,0.921,
12.300,4.280,2.313,-2.860,
12.350,4.394,2.065,-6.545,
12.400,4.494,1.644,-9.793,
12.450,4.564,1.062,-12.120,
12.500,4.603,0.378,-13.041,
12.550,4.603,-0.305,-12.266,
12.600,4.568,-0.902,-10.036,
12.650,4.507,-1.338,-6.981,
12.700,4.429,-1.600,-3.685,
12.750,4.342,-1.702,-0.485,
12.800,4.254,-1.644,2.473,
12.850,4.171,-1.440,4.994,
12.900,4.106,-1.120,6.836,
12.950,4.058,-0.727,7.854,
13.000,4.032,-0.305,7.999,
13.050,4.027,0.102,7.369,
13.100,4.045,0.451,6.206,
13.150,4.075,0.727,4.751,
13.200,4.119,0.931,3.103,
13.250,4.171,1.047,1.309,
13.300,4.228,1.062,-0.485,
13.350,4.280,0.989,-2.182,
13.400,4.328,0.844,-3.733,
13.450,4.368,0.611,-4.945,
13.500,4.394,0.320,-5.430,
13.550,4.398,0.029,-5.042,
13.600,4.394,-0.204,-4.121,
13.650,4.376,-0.378,-3.006,
13.700,4.355,-0.509,-1.745,
13.750,4.324,-0.567,-0.339,
13.800,4.294,-0.538,0.921,
13.850,4.267,-0.451,1.745,
13.900,4.250,-0.349,2.182,
13.950,4.232,-0.233,2.424,
14.000,4.224,-0.102,2.376,
14.050,4.224,0.029,1.891,
14.100,4.228,0.102,1.164,
14.150,4.237,0.131,0.533,
14.200,4.241,0.145,0.145,
14.250,4.250,0.145,-0.194,
14.300,4.259,0.131,-0.533,
14.350,4.263,0.087,-0.727,
14.400,4.267,0.044,-0.679,
14.450,4.267,0.015,-0.436,
14.500,4.267,0.000,-0.194,
14.550,4.267,0.000,-0.048,
14.600,4.267,0.000,0.000,
14.650,4.267,0.000,0.000,
14.700,4.267,0.000,0.000,
14.750,4.267,0.000,0.000,
14.800,4.267,0.000,0.145,
14.850,4.267,0.000,0.776,
14.900,4.267,0.044,1.745,
14.950,4.267,0.189,1.794,
15.000,4.280,0.335,-2.230,
15.050,4.311,0.247,-15.902,
15.100,4.324,-0.684,-41.209,
15.150,4.298,-3.563,-68.116,
15.200,4.088,-8.218,-78.152,
15.250,3.478,-12.654,-62.686,
15.300,2.679,-15.039,-34.470,
15.350,1.911,-15.548,-12.266,
15.400,1.143,-15.664,-0.291,
15.450,0.349,-15.708,11.248,
15.500,-0.458,-14.966,30.543,
15.550,-1.200,-12.872,55.220,
15.600,-1.798,-9.338,77.667,
15.650,-2.173,-4.771,91.824,
15.700,-2.286,0.233,95.266,
15.750,-2.142,5.105,88.139,
15.800,-1.758,9.367,71.558,
15.850,-1.169,12.537,48.094,
15.900,-0.449,14.268,23.077,
15.950,0.310,14.632,3.588,
16.000,1.043,14.195,-5.527,
16.050,1.728,13.686,-4.848,
16.100,2.391,13.555,7.816E-13,
16.150,3.067,13.817,1.648,
16.200,3.770,14.064,-5.381,
16.250,4.494,13.672,-22.156,
16.300,5.184,12.086,-44.748,
16.350,5.755,9.148,-66.516,
16.400,6.135,5.163,-81.594,
16.450,6.288,0.640,-86.879,
16.500,6.200,-3.883,-81.691,
16.550,5.882,-7.869,-66.953,
16.600,5.376,-10.836,-45.476,
16.650,4.752,-12.494,-22.108,
16.700,4.080,-12.901,-2.618,
