"Time (s) Run #3","Angle (rad) Run #3","Angular Velocity (rad/s) Run #3","Angular Acceleration (rad/s²) Run #3","State Run #3"
8.250,2.557,-3.025,10.423,
8.300,2.417,-2.531,9.939,
8.350,2.304,-2.051,9.890,
8.400,2.212,-1.556,10.327,
8.426,,,,1.00
8.450,2.147,-1.033,11.151,
8.482,,,,0.00
8.500,2.107,-0.451,12.217,
8.550,2.099,0.189,13.381,
8.600,2.125,0.887,14.690,
8.650,2.186,1.644,16.387,
8.700,2.286,2.502,18.568,
8.750,2.430,3.491,20.847,
8.800,2.631,4.611,22.204,
8.850,2.889,5.789,21.283,
8.900,3.211,6.865,16.726,
8.950,3.587,7.621,7.709,
9.000,3.992,7.796,-5.527,
9.050,4.394,7.170,-21.332,
9.100,4.743,5.658,-36.700,
9.150,4.987,3.360,-48.287,
9.200,5.096,0.596,-53.572,
9.250,5.048,-2.254,-51.633,
9.300,4.861,-4.800,-43.197,
9.350,4.547,-6.734,-30.301,
9.400,4.158,-7.883,-15.999,
9.450,3.731,-8.261,-3.345,
9.500,3.312,-8.072,5.575,
9.550,2.915,-7.549,10.181,
9.600,2.553,-6.923,11.102,
9.650,2.225,-6.356,9.454,
9.692,,,,1.00
9.700,1.924,-5.934,6.448,
9.748,,,,0.00
9.750,1.636,-5.701,3.103,
9.800,1.361,-5.643,0.242,
9.850,1.078,-5.716,-1.503,
9.900,0.790,-5.847,-1.745,
9.950,0.493,-5.949,-0.097,
10.000,0.192,-5.934,3.733,
10.050,-0.109,-5.658,9.551,
10.100,-0.388,-5.018,16.338,
10.150,-0.624,-4.000,22.544,
10.200,-0.798,-2.691,26.762,
10.250,-0.899,-1.222,28.022,
10.300,-0.921,0.233,25.938,
10.350,-0.868,1.484,20.750,
10.400,-0.759,2.385,13.381,
10.450,-0.615,2.851,5.188,
10.500,-0.458,2.880,-2.521,
10.550,-0.314,2.545,-8.824,
10.600,-0.196,1.934,-13.284,
10.650,-0.113,1.149,-15.708,
10.700,-0.079,0.291,-15.999,
10.750,-0.087,-0.524,-14.302,
10.800,-0.135,-1.193,-11.005,
10.850,-0.214,-1.658,-6.593,
10.900,-0.310,-1.876,-1.503,
10.949,,,,1.00
10.950,-0.410,-1.818,3.879,
11.000,-0.502,-1.484,8.969,
11.005,,,,0.00
11.050,-0.567,-0.887,12.993,
11.100,-0.598,-0.116,15.223,
11.150,-0.580,0.713,15.369,
11.200,-0.524,1.484,13.769,
11.250,-0.428,2.123,10.957,
11.300,-0.305,2.603,7.272,
11.350,-0.161,2.880,2.909,
11.400,-0.009,2.909,-1.794,
11.450,0.140,2.691,-6.303,
11.500,0.266,2.254,-10.181,
11.550,0.371,1.644,-13.332,
11.600,0.436,0.902,-15.756,
11.650,0.463,0.044,-17.453,
11.700,0.445,-0.873,-18.423,
11.750,0.375,-1.818,-18.568,
11.800,0.262,-2.763,-17.647,
11.850,0.100,-3.636,-15.029,
11.900,-0.109,-4.349,-10.133,
11.950,-0.345,-4.741,-2.860,
12.000,-0.598,-4.698,6.303,
12.050,-0.833,-4.145,16.144,
12.100,-1.030,-3.054,25.065,
12.150,-1.156,-1.542,31.319,
12.200,-1.191,0.218,33.695,
12.205,,,,1.00
12.250,-1.134,1.978,32.046,
12.261,,,,0.00
12.300,-0.986,3.534,27.004,
12.350,-0.768,4.756,19.683,
12.400,-0.497,5.541,11.393,
12.450,-0.196,5.876,3.588,
12.500,0.105,5.832,-2.473,
12.550,0.393,5.541,-6.254,
12.600,0.663,5.134,-7.951,
12.650,0.908,4.698,-8.145,
12.700,1.130,4.291,-7.418,
12.750,1.335,3.942,-6.157,
12.800,1.523,3.665,-4.606,
12.850,1.697,3.476,-3.006,
12.900,1.868,3.374,-1.551,
12.950,2.033,3.331,-0.242,
13.000,2.199,3.345,1.067,
13.050,2.365,3.432,2.424,
13.100,2.539,3.592,3.588,
13.150,2.723,3.811,4.266,
13.200,2.919,4.043,4.266,
13.250,3.129,4.262,3.442,
13.300,3.347,4.422,1.697,
13.350,3.574,4.465,-1.067,
13.400,3.800,4.349,-4.800,
13.450,4.014,4.014,-9.163,
13.463,,,,1.00
13.500,4.211,3.432,-13.478,
13.518,,,,0.00
13.550,4.368,2.633,-16.872,
13.600,4.477,1.687,-18.665,
13.650,4.538,0.698,-18.471,
13.700,4.547,-0.233,-16.241,
13.750,4.507,-0.989,-12.508,
13.800,4.437,-1.498,-8.193,
13.850,4.350,-1.789,-4.121,
13.900,4.254,-1.891,-0.630,
13.950,4.154,-1.833,2.133,
14.000,4.067,-1.644,3.927,
14.050,3.988,-1.396,4.654,
14.100,3.927,-1.149,4.509,
14.150,3.875,-0.931,3.830,
14.200,3.835,-0.756,2.860,
14.250,3.800,-0.640,1.794,
14.300,3.774,-0.582,0.873,
14.350,3.744,-0.567,0.388,
14.400,3.718,-0.567,0.436,
14.450,3.687,-0.538,0.970,
14.500,3.661,-0.480,1.842,
14.550,3.639,-0.364,2.957,
14.600,3.622,-0.189,4.218,
14.650,3.617,0.058,5.430,
14.700,3.626,0.364,6.497,
14.718,,,,1.00
14.750,3.652,0.713,7.369,
14.774,,,,0.00
14.800,3.696,1.105,7.902,
14.850,3.761,1.527,7.757,
14.900,3.848,1.920,6.642,
14.950,3.958,2.225,4.412,
15.000,4.075,2.400,1.067,
15.050,4.202,2.371,-3.248,
15.100,4.324,2.094,-7.951,
15.150,4.420,1.556,-12.169,
15.200,4.485,0.829,-15.223,
15.250,4.507,-0.015,-16.726,
15.300,4.485,-0.902,-16.581,
15.350,4.416,-1.731,-14.835,
15.400,4.307,-2.429,-11.829,
15.450,4.167,-2.938,-8.096,
15.500,4.006,-3.243,-4.169,
15.550,3.835,-3.345,-0.436,
15.600,3.665,-3.272,2.909,
15.650,3.504,-3.040,5.769,
15.700,3.355,-2.676,8.096,
15.750,3.233,-2.211,9.939,
15.800,3.133,-1.673,11.539,
15.850,3.063,-1.062,13.041,
15.900,3.024,-0.364,14.399,
15.950,3.024,0.393,15.514,
15.972,,,,1.00
16.000,3.063,1.193,16.435,
16.027,,,,0.00
16.050,3.142,2.036,17.065,
16.100,3.264,2.923,16.920,
16.150,3.434,3.782,15.272,
16.200,3.648,4.523,11.442,
16.250,3.892,5.018,5.042,
16.300,4.163,5.120,-3.782,
16.350,4.424,4.698,-13.866,
16.400,4.651,3.709,-23.416,
16.450,4.813,2.269,-30.640,
16.500,4.887,0.524,-34.325,
16.550,4.869,-1.309,-33.985,
16.600,4.752,-3.011,-29.816,
16.650,4.555,-4.392,-22.786,
16.700,4.298,-5.338,-14.254,
16.750,4.006,-5.818,-5.672,
16.800,3.700,-5.861,1.648,
16.850,3.408,-5.571,6.836,
16.900,3.137,-5.091,9.745,
16.950,2.897,-4.538,10.811,
17.000,2.683,-3.971,10.666,
17.050,2.500,-3.447,9.890,
17.100,2.343,-2.982,9.066,
17.150,2.203,-2.560,8.581,
17.200,2.086,-2.138,8.533,
17.223,,,,1.00
17.250,1.990,-1.716,8.921,
17.279,,,,0.00
17.300,1.915,-1.265,9.648,
17.350,1.859,-0.756,10.472,
17.400,1.837,-0.204,11.054,
17.450,1.841,0.364,11.490,
17.500,1.872,0.931,12.169,
17.550,1.933,1.556,13.332,
17.600,2.025,2.254,14.835,
17.650,2.155,3.040,16.338,
17.700,2.326,3.898,17.502,
17.750,2.544,4.814,17.744,
17.800,2.806,5.730,16.241,
17.850,3.120,6.530,11.975,
17.900,3.469,7.054,4.266,
17.950,3.840,7.083,-6.787,
18.000,4.202,6.458,-19.877,
18.050,4.512,5.091,-32.531,
18.100,4.734,3.083,-41.839,
18.150,4.835,0.698,-45.524,
18.200,4.804,-1.702,-42.906,
18.250,4.651,-3.782,-34.858,
18.300,4.407,-5.309,-23.271,
18.350,4.097,-6.152,-10.423,
18.400,3.766,-6.312,1.551,
18.450,3.447,-5.905,11.199,
18.477,,,,1.00
18.500,3.163,-5.091,18.035,
18.533,,,,0.00
18.550,2.928,-4.014,22.301,
18.600,2.758,-2.793,24.532,
18.650,2.649,-1.513,25.453,
18.700,2.605,-0.233,25.744,
18.750,2.627,1.062,25.841,
18.800,2.710,2.356,25.695,
18.850,2.862,3.651,24.677,
18.900,3.076,4.887,21.817,
18.950,3.355,5.934,15.999,
19.000,3.683,6.618,6.593,
19.050,4.036,6.720,-6.060,
19.100,4.381,6.080,-20.314,
19.150,4.673,4.654,-33.452,
19.200,4.869,2.589,-42.712,
19.250,4.944,0.175,-46.251,
19.300,4.887,-2.254,-43.682,
19.350,4.708,-4.378,-35.925,
19.400,4.429,-5.963,-24.774,
19.450,4.088,-6.894,-12.508,
19.500,3.718,-7.170,-1.406,
19.550,3.351,-6.923,6.884,
19.600,3.015,-6.356,11.829,
19.650,2.714,-5.643,13.963,
19.700,2.448,-4.901,14.205,
19.732,,,,1.00
19.750,2.225,-4.189,13.332,
19.787,,,,0.00
19.800,2.033,-3.549,12.023,
19.850,1.872,-2.996,10.763,
19.900,1.737,-2.487,9.745,
19.950,1.623,-2.022,8.824,
20.000,1.536,-1.600,7.805,
20.050,1.466,-1.236,6.690,
20.100,1.414,-0.931,5.430,
20.150,1.374,-0.684,3.879,
20.200,1.348,-0.524,1.988,
20.250,1.326,-0.480,-0.145,
20.300,1.305,-0.538,-2.473,
20.350,1.274,-0.713,-5.091,
20.400,1.239,-1.033,-7.999,
20.450,1.178,-1.513,-11.005,
20.500,1.091,-2.138,-14.011,
20.550,0.969,-2.909,-16.823,
20.600,0.807,-3.840,-18.811,
20.650,0.589,-4.858,-18.908,
20.700,0.319,-5.832,-15.999,
20.750,0.000,-6.589,-9.357,
20.800,-0.353,-6.909,1.115,
20.850,-0.716,-6.589,14.399,
20.900,-1.038,-5.498,28.265,
20.950,-1.292,-3.680,39.900,
20.983,,,,1.00
21.000,-1.427,-1.338,46.833,
21.039,,,,0.00
21.050,-1.431,1.222,47.754,
21.100,-1.300,3.651,42.664,
21.150,-1.052,5.658,32.870,
21.200,-0.711,7.025,20.750,
21.250,-0.323,7.709,9.066,
21.300,0.079,7.825,0.048,
21.350,0.471,7.578,-5.188,
21.400,0.842,7.170,-6.593,
21.450,1.187,6.807,-4.945,
21.500,1.514,6.618,-1.454,
21.550,1.841,6.647,2.666,
21.600,2.173,6.894,6.351,
21.650,2.522,7.330,8.242,
